ra,dec,source_id,l,b,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,phot_g_n_obs,phot_g_mean_mag,g,bp_rp
35.048527217610484,63.65366539760339,515102750738418816,132.5895327673923,2.458581990357735,0.9502549257198845,0.07258500829960526,2.7901608457669367,0.0736305764482243,-3.5491958395480125,0.11648810114156599,-0.317782,-0.009259121,-0.24159223,0.11422616,0.10475837,0.0625297,0.027345894,0.10916186,0.11338722,-0.50889474,415,16.946596,16.946596,1.6180096
35.29798203549041,63.897739708640536,515112337097589632,132.61072792855927,2.72555482355869,0.8513553004040401,0.16359485122833314,2.781443320307456,0.149616180733668,-4.411207478297378,0.27495332813779033,-0.12933022,0.20575677,-0.33067277,0.17794031,0.12371035,0.09125764,-0.18474099,-0.11330505,0.24279226,-0.45545098,291,17.484846,17.484846,1.7416563
34.76699234957287,63.73390116569681,515107251863936896,132.44498243103774,2.492475934741309,0.8803384078293781,0.07575212537625166,3.2198609832550487,0.07958306656877584,-3.749195182893163,0.11739864653855304,-0.30416226,0.17317946,-0.27043653,0.19885474,-0.13700962,0.10161167,-0.022602256,0.023833135,0.18599539,-0.45953217,379,17.100729,17.100729,1.7882271
35.20432297347917,63.731697971258015,515109279088676096,132.62822287817832,2.55534160167512,1.0372809518572745,0.04086837433299894,3.054897958379081,0.03926550497819279,-3.7946377669156997,0.0640517498947287,-0.30384722,0.063996725,-0.365346,0.25432268,0.069308065,0.21061783,-0.2003483,0.0554103,0.13924205,-0.45902446,414,15.836173,15.836173,1.4196072
35.17013594837956,63.77603541834018,515109966283428736,132.59896105206667,2.591945550827535,0.9575061202597265,0.045239739036818626,3.1703764034660407,0.046392524503585386,-4.1488735077677195,0.07470913749577636,-0.31037745,0.03541798,-0.3947778,0.25300235,0.050315455,0.2197012,-0.21395403,0.012899825,0.17738609,-0.4130239,386,16.02779,16.02779,1.4104214
35.24098349355531,63.843149427171454,515111787349527296,132.60565501703158,2.665683747979322,0.9840982646410489,0.06998562801450166,2.5343515763068085,0.07152612863666175,-3.7249480767579026,0.11613595342049728,-0.3362561,0.025670968,-0.31498626,0.26294678,0.0513084,0.21130125,-0.104299,-0.02082126,0.21950741,-0.47727737,381,16.872847,16.872847,1.7330589
35.45443786087582,63.83614429571685,515110997075538816,132.69661710086524,2.6911689947255146,0.8724538354457291,0.054520529952418996,3.279287348684568,0.05654832395070397,-4.018221980186569,0.09197821568755564,-0.37178937,-0.036530726,-0.3826899,0.26880795,0.11739043,0.23979793,-0.20691301,0.05693582,0.13708656,-0.52446574,373,16.339783,16.339783,1.5337143
35.016015226788895,63.53020588207114,515100036319118336,132.61744297474272,2.3374468221065796,0.7992457339069233,0.0201680234596918,2.3254954946680266,0.018368514611364174,-3.6373195162986782,0.029210973863406136,-0.24891984,0.16419859,-0.33619317,0.23678353,-0.020908102,0.17234163,-0.16455442,0.052004643,0.16567145,-0.3761435,428,13.662776,13.662776,0.8633232
34.98768985779561,63.75233028176354,515106805187306880,132.53094023122782,2.542454752813379,0.9821080898427563,0.029281768120250996,3.332581454039554,0.030800125250956385,-4.0239589761285,0.0468426162538833,-0.30014735,0.036398467,-0.38522756,0.26427138,-0.043365877,0.21073437,-0.17631797,0.032796774,0.17350934,-0.42658013,443,15.284189,15.284189,1.3229198
35.21571031277713,63.77935285602559,515109863204210432,132.61680449598947,2.601884364866032,0.9338308316233968,0.029500924447827467,3.0023041201270595,0.028918607794431627,-3.9238767637305445,0.046376534486560546,-0.28202432,0.011469598,-0.38042948,0.22632477,0.13239807,0.1914391,-0.1726371,0.052200314,0.14949559,-0.42964402,403,14.997599,14.997599,1.2404852
