ra,dec,source_id,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error
73.48196038484933,40.94316136504967,200312911000758400,-0.848792387663631,0.814019546849907,-2.2424559706104157,1.9198294895049872,-4.36740907852309,1.2974981558282217,0.0066395137,0.22939174,0.21230434,20.230164,21.013762,19.236788,152.50382578231557,0.9996827731045528,54.33138770831779,9.16891446199157,162.20089145871717,8.628545110113663
73.41090254986796,40.72366283101662,200306107771706240,-0.13873621697029198,0.206768447716806,0.6923384647232192,0.40378940434830773,-1.1667048546954037,0.26904603776794966,0.3694185,0.25841793,-0.21389906,18.299557,18.896416,17.586397,902.659486524451,1.5174417487946763,381.9347052763099,8.681829212822162,741.6678446606144,7.886062030610329
73.47723112486482,40.858484523635475,200311334749988864,0.4434361779336515,0.07783215361919811,0.6471653457709424,0.13820153609174127,-2.0379730050111515,0.10300909707786346,0.099039845,0.30161545,0.13523029,16.722956,17.170544,16.008331,3856.2409125637537,2.9465457989142747,1872.1383949527087,15.219941809361819,3172.7464924659707,16.806655494489654
73.54554697056338,40.911551833190636,200311914568228352,0.16154262330210242,0.1012851022970035,0.11000681291449063,0.16864523929914355,-0.3067022469135578,0.12572764471720296,0.043022573,0.4857576,-0.030859623,17.054546,17.65111,16.307688,2841.3692969772405,2.5581812685274667,1202.572482108156,14.854364426421048,2408.2030511892704,11.28070731152315
73.32814115821333,40.94621465799084,200323253282012800,-0.2647729365268532,0.7609717165043597,0.08615439573488148,2.098306457734986,-4.21897608798975,1.1517209996307483,-0.071016476,0.2971131,-0.6836249,19.58509,20.571556,18.691732,276.25502692694783,1.6517968690562663,81.6455567843751,13.022648296692699,267.9629681328003,10.203246284294712
73.34867115074971,40.7992047446674,200310235235239552,0.5914336535485208,0.9268473031280072,2.1445143254539714,2.073054545349586,-3.838590850796857,1.308156769772769,0.3660471,0.079702556,-0.09888314,20.387638,20.751999,19.598156,131.9140337783763,1.1596167526144787,69.14414631180297,8.06352457826376,116.28014901330563,9.08054039169091
73.48962759865003,40.91293543739977,200312120726658688,,,,,,,,,,20.252161,20.808287,19.483063,149.44522554474736,0.9611642520718675,65.65084963097296,8.305841855665946,129.2835421152286,9.113827749538206
73.44742683939695,40.70323256837157,200305871551677056,-0.5719905654213862,0.6757280391565575,-2.035938451703354,1.6440009348442353,-1.1694273665774433,1.0974379175728644,0.058291886,0.41337922,-0.6654856,19.40522,20.102856,18.605011,326.0302808107327,1.5195476380771833,125.72241437068809,15.916898758174561,290.2444523813922,7.845127721686248
73.40117281827351,40.8388934389679,200310716271509888,-0.14797532631580443,0.8071295166397676,1.516222703527909,1.6381047426797775,-1.5331120489204726,1.1443638885406229,-0.051064033,0.35303056,-0.0074469545,20.324883,20.924833,19.582827,139.76329330017572,0.929842707542134,58.968702299092904,11.581086271085331,117.93349814542417,7.846179877507201
73.45239918832002,40.9536357309382,200313151518964864,0.2328688176561148,1.175892552111836,1.0464074497982245,3.3019429713148556,1.8679692905552578,1.8586229305712554,-0.26575616,0.21035595,-0.018065281,20.589823,22.210955,19.476593,109.50073474885025,0.9827997925850775,18.037376772171196,6.763083236356733,130.05606695053115,10.103145724529439
